term_str,PC0,PC1,PC2,PC3,PC4
agree,-1.4215740760376023e-05,-2.4627426126153877e-05,-3.289172490866602e-05,-3.0446565944905516e-05,9.996352817632029e-06
agreed,-1.4170092822861392e-05,-2.4368998313085198e-05,-3.093940841513508e-05,-2.631359463008266e-05,4.729163641932067e-06
agreement,-1.5856829111036465e-05,-2.7153865628233805e-05,-3.4792675586487044e-05,-3.0597750800326606e-05,1.477312829814121e-06
agricultural,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
agriculture,-2.4594439316799917e-05,-4.1533361158542746e-05,-4.890960230143315e-05,-3.8796712620316285e-05,4.597796068596929e-06
ah,-0.0002727686391366444,-0.00025197300454506973,0.0008440139577715191,0.00038351606445253335,-0.0005282218111368189
aha,-6.7581566676507335e-06,-1.1735610853383372e-05,-1.2816040009494569e-05,-1.0806638821822074e-05,2.4031576465851683e-08
ahahaha,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
ahahahaha,-1.0310919426322431e-05,-2.2826063759448104e-05,0.00010879576173085067,1.46480528194999e-05,-3.16753354679232e-05
ahead,-1.6358100525772502e-05,-2.821411562954366e-05,-4.1452088868496596e-05,-9.818187677385998e-06,-2.6706930679958824e-05
ahem,-6.7581566676507335e-06,-1.1735610853383372e-05,-1.2816040009494569e-05,-1.0806638821822074e-05,2.4031576465851683e-08
ahh,-0.0002962086857461288,-0.0006452267834518738,0.002820412463556752,0.000304429009416413,-0.0005396797744640554
ahha,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
ahhh,-9.621109862692689e-05,-0.00020628861619377656,0.0008481046855756898,8.83465038768439e-05,-0.0002524410049216876
ahhhh,-1.0310919426322431e-05,-2.2826063759448104e-05,0.00010879576173085067,1.46480528194999e-05,-3.16753354679232e-05
ahhhn,-3.597394343610679e-05,-5.759133911891822e-05,-8.433743833100568e-05,-9.062603501320328e-05,2.386911748534835e-05
ahm,-2.3982628957404064e-05,-3.8394226079278086e-05,-5.6224958887336086e-05,-6.0417356675467754e-05,1.591274499023194e-05
ahoy,0.0008087521308021057,0.00019976263445537217,4.7594042718654994e-05,1.4111865795787551e-05,-1.7682339390914197e-06
ai,-1.4179421358895755e-05,-2.3621533642266433e-05,-2.9591039224110503e-05,-1.8281821630789507e-05,2.052638115130816e-06
aid,-1.0310919426322431e-05,-2.2826063759448104e-05,0.00010879576173085067,1.46480528194999e-05,-3.16753354679232e-05
aileron,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
aim,-9.272507051956153e-06,-1.5663648274469597e-05,-2.0836364438358104e-05,-1.1622170010447785e-05,-1.71538711946626e-06
aimed,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
aiming,-9.272507051956153e-06,-1.5663648274469597e-05,-2.0836364438358104e-05,-1.1622170010447785e-05,-1.71538711946626e-06
